Episode ,xVel,yVel,yawRate,pitchRate,zVel,rollRate,work,groundContact,tailStatus,baseReward,crash,simpleTrainingPenalties,yPos,orientation
Weights: ,1,0,0,0,0,0,0,0,0,0,0,0,0,1

Config:
keepBalance, "True"
RandomXVelocity, "True"
RandomYVelocity, "False"
RandomAngularVelocity, "False"
RandomStart, "True"
LongEpisodes, "False"
Swimming, "True"
Transition, "False"
Landing, "False"
2D, "False"
LegPhases, "False"
LegAmplitudes, "False"
LegRotations, "False"
SpinePhases, "True"
SpineAmplitudes, "True"
SpinePitch, "True"
Buoyancy, "True"
Tail, "True"
Analysis, "False"

Values:
2,7.923542,0,0,0,0,0,0,0,0,0,0,0,0,16.3923
2,16.50891,0,0,0,0,0,0,0,0,0,0,0,0,28.71459
2,10.77098,0,0,0,0,0,0,0,0,0,0,0,0,28.75159
2,11.99412,0,0,0,0,0,0,0,0,0,0,0,0,28.03472
2,9.798483,0,0,0,0,0,0,0,0,0,0,0,0,21.55447
2,18.34754,0,0,0,0,0,0,0,0,0,0,0,0,24.96768
2,15.26965,0,0,0,0,0,0,0,0,0,0,0,0,27.86776
2,21.11203,0,0,0,0,0,0,0,0,0,0,0,0,32.30928
2,5.581824,0,0,0,0,0,0,0,0,0,0,0,0,28.95267
2,15.84292,0,0,0,0,0,0,0,0,0,0,0,0,22.74133
2,7.561025,0,0,0,0,0,0,0,0,0,0,0,0,20.4298
2,14.9208,0,0,0,0,0,0,0,0,0,0,0,0,22.46295
2,12.58604,0,0,0,0,0,0,0,0,0,0,0,0,22.82819
2,16.60429,0,0,0,0,0,0,0,0,0,0,0,0,21.90541
2,16.08358,0,0,0,0,0,0,0,0,0,0,0,0,27.32082
2,14.35229,0,0,0,0,0,0,0,0,0,0,0,0,23.95852
2,13.693,0,0,0,0,0,0,0,0,0,0,0,0,22.31041
2,13.9585,0,0,0,0,0,0,0,0,0,0,0,0,22.99211
2,12.80218,0,0,0,0,0,0,0,0,0,0,0,0,25.76443
2,14.18082,0,0,0,0,0,0,0,0,0,0,0,0,25.77994
2,11.43028,0,0,0,0,0,0,0,0,0,0,0,0,22.52023
2,12.79518,0,0,0,0,0,0,0,0,0,0,0,0,22.63336
2,14.27413,0,0,0,0,0,0,0,0,0,0,0,0,22.5092
2,17.80838,0,0,0,0,0,0,0,0,0,0,0,0,29.26686
2,17.0297,0,0,0,0,0,0,0,0,0,0,0,0,27.96142
2,17.34395,0,0,0,0,0,0,0,0,0,0,0,0,27.59415
2,12.58962,0,0,0,0,0,0,0,0,0,0,0,0,26.973
2,11.47692,0,0,0,0,0,0,0,0,0,0,0,0,23.19384
2,12.46533,0,0,0,0,0,0,0,0,0,0,0,0,25.85044
2,16.23661,0,0,0,0,0,0,0,0,0,0,0,0,24.04126
2,15.74323,0,0,0,0,0,0,0,0,0,0,0,0,24.42919
2,13.89216,0,0,0,0,0,0,0,0,0,0,0,0,20.19487
2,15.85789,0,0,0,0,0,0,0,0,0,0,0,0,23.30672
2,13.73231,0,0,0,0,0,0,0,0,0,0,0,0,27.48262
2,10.27773,0,0,0,0,0,0,0,0,0,0,0,0,26.35708
2,6.015689,0,0,0,0,0,0,0,0,0,0,0,0,26.13689
2,10.4906,0,0,0,0,0,0,0,0,0,0,0,0,27.17722
2,10.47974,0,0,0,0,0,0,0,0,0,0,0,0,26.3231
2,12.91238,0,0,0,0,0,0,0,0,0,0,0,0,25.79523
2,12.17881,0,0,0,0,0,0,0,0,0,0,0,0,24.29908
2,13.64663,0,0,0,0,0,0,0,0,0,0,0,0,27.38664
2,13.90394,0,0,0,0,0,0,0,0,0,0,0,0,23.94692
2,13.00463,0,0,0,0,0,0,0,0,0,0,0,0,22.13285
2,15.84557,0,0,0,0,0,0,0,0,0,0,0,0,25.309
2,7.423388,0,0,0,0,0,0,0,0,0,0,0,0,26.46502
2,13.87453,0,0,0,0,0,0,0,0,0,0,0,0,24.81374
2,12.06172,0,0,0,0,0,0,0,0,0,0,0,0,22.48243
2,14.88757,0,0,0,0,0,0,0,0,0,0,0,0,23.7484
2,9.199456,0,0,0,0,0,0,0,0,0,0,0,0,26.38333
